text,image,카테고리_주제,카테고리_품사
커요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/keo_yo_.png,집,동사
켜주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/kyeo_ju_se_yo_1.png,집,동사
털어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/teol_eo_yo_.png,집,동사
꺼내요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/ggeo_nae_yo_001_.png,집,동사
꺼내요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/ggeo_nae_yo_002_2.png,집,동사
닫아요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/dad_a_yo_.png,집,동사
벗어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/beos_eo_yo_001_.png,집,동사
벗어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/beos_eo_yo_002_.png,집,동사
우산-좀-빌려-주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/u_san_jom_bil_ryeo_ju_se_yo_001_.png,집,동사
우산-좀-빌려-주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/u_san_jom_bil_ryeo_ju_se_yo_002_.png,집,동사
접어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/jeob_eo_yo_001_.png,집,동사
접어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/jeob_eo_yo_002_.png,집,동사
접어주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/jeob_eo_ju_se_yo_001_.png,집,동사
접어주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/jeob_eo_ju_se_yo_002_.png,집,동사
펴요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/pyeo_yo_001_1.png,집,동사
펴요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/pyeo_yo_002_1.png,집,동사
깎아주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/ggagg_a_ju_se_yo_.png,집,동사
단추를-끼워요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/dan_cu_reul_ggi_weo_yo_003_.png,집,동사
단추를-풀어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/dan_cu_reul_pul_eo_yo_003_.png,집,동사
단추를끼워요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/dan_cu_reul_ggi_weo_yo_001_.png,집,동사
단추를끼워요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/dan_cu_reul_ggi_weo_yo_002_.png,집,동사
단추를끼워요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/dan_cu_reul_ggi_weo_yo_201_.png,집,동사
