text,image,카테고리_주제,카테고리_품사,실체,필요성분,명사구분,동사구분
대학원,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/dae_hag_weon_003_.png,학교,명사,2,0,0,0
도서실,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/do_seo_sil_.png,학교,명사,2,0,0,0
매점,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/mae_jeom_2.png,학교,명사,2,0,0,0
모둠활동,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/mo_dum_hwal_dong_001_.png,학교,명사,1,0,0,0
모둠활동,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/mo_dum_hwal_dong_002_.png,학교,명사,1,0,0,0
무슨과목좋아해,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/mu_seun_gwa_mog_joh_a_hae_.png,학교,동사,0,0,0,0
미술,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/mi_sul_001_.png,학교,명사,1,0,0,0
미술,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/mi_sul_002_.png,학교,명사,1,0,0,0
미술,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/mi_sul_003_.png,학교,명사,1,0,0,0
미술,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/mi_sul_201_.png,학교,명사,1,0,0,0
미술시간,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/mi_sul_si_gan_201_.png,학교,명사,1,0,0,0
미술실,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/mi_sul_sil_.png,학교,명사,2,0,0,0
반장,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/ban_jang_001_.png,학교,명사,2,0,0,0
반장,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/ban_jang_002_.png,학교,명사,2,0,0,0
방과후활동,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/bang_gwa_hu_hwal_dong_001_.png,학교,명사,1,0,0,0
방과후활동,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/bang_gwa_hu_hwal_dong_002_.png,학교,명사,1,0,0,0
방과후활동,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/bang_gwa_hu_hwal_dong_201_.png,학교,명사,1,0,0,0
방학에뭐해,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/bang_hag_e_mweo_hae_.png,학교,동사,0,0,0,0
벌서요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/beol_seo_yo_201_.png,학교,동사,0,0,0,0
복도,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/bog_do_.png,학교,명사,2,0,0,0
