text,image,카테고리_주제,카테고리_품사,필요토큰,필요성분
장남,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jang_nam_002_.png,집,명사,0,0
장남,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jang_nam_003_.png,집,명사,0,0
장남,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jang_nam_004_.png,집,명사,0,0
장녀,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jang_nyeo_001_.png,집,명사,0,0
장녀,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jang_nyeo_002_.png,집,명사,0,0
장녀,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jang_nyeo_003_.png,집,명사,0,0
장녀,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jang_nyeo_004_.png,집,명사,0,0
장모님,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jang_mo_nim_001_.png,집,명사,0,0
장모님,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jang_mo_nim_002_.png,집,명사,0,0
장모님,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jang_mo_nim_003_.png,집,명사,0,0
장모님,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jang_mo_nim_004_.png,집,명사,0,0
장인어른,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jang_in_eo_reun_001_.png,집,0,0,0
장인어른,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jang_in_eo_reun_002_.png,집,0,0,0
장인어른,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jang_in_eo_reun_003_.png,집,0,0,0
장인어른,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jang_in_eo_reun_004_.png,집,0,0,0
조카,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jo_ka_.png,집,명사,0,0
차남,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ca_nam_001_.png,집,명사,0,0
차남,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ca_nam_002_.png,집,명사,0,0
차남,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ca_nam_003_.png,집,명사,0,0
차남,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ca_nam_004_.png,집,명사,0,0
차녀,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ca_nyeo_001_.png,집,명사,0,0
차녀,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ca_nyeo_002_.png,집,명사,0,0
차녀,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ca_nyeo_003_.png,집,명사,0,0
차녀,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ca_nyeo_004_.png,집,명사,0,0
첫째,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ceos_jjae_001_.png,집,명사,0,0
첫째,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ceos_jjae_002_.png,집,명사,0,0
첫째,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ceos_jjae_003_.png,집,명사,0,0
첫째,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ceos_jjae_004_.png,집,명사,0,0
친척,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/cin_ceog_.png,집,명사,0,0
친척,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/cin_ceog_201_.png,집,명사,0,0
큰아빠,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/keun_a_bba_001_.png,집,0,0,0
큰아빠,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/keun_a_bba_002_.png,집,0,0,0
큰아빠,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/keun_a_bba_003_.png,집,0,0,0
큰아빠,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/keun_a_bba_004_.png,집,0,0,0
큰엄마,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/keun_eom_ma_001_.png,집,0,0,0
큰엄마,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/keun_eom_ma_002_.png,집,0,0,0
큰엄마,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/keun_eom_ma_003_.png,집,0,0,0
큰엄마,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/keun_eom_ma_004_.png,집,0,0,0
할머니,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/hal_meo_ni_001_.png,집,0,0,0
할머니,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/hal_meo_ni_002_.png,집,0,0,0
할머니,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/hal_meo_ni_201_.png,집,0,0,0
할아버지,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/hal_a_beo_ji_001_.png,집,0,0,0
할아버지,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/hal_a_beo_ji_002_.png,집,0,0,0
할아버지,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/hal_a_beo_ji_201_.png,집,0,0,0
형,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/hyeong_001_.png,집,명사,0,0
형,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/hyeong_002_.png,집,명사,0,0
형,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/hyeong_003_.png,집,명사,0,0
형,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/hyeong_004_.png,집,명사,0,0
형,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/hyeong_201_.png,집,명사,0,0
활짝-웃어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/hwal_jjag_us_eo_yo_.png,집,0,0,0
같이가요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/gat_i_ga_yo_.png,집,0,0,0
거울,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/geo_ul_1.png,집,명사,0,0
급해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/geub_hae_yo_001_.png,집,0,0,0
급해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/geub_hae_yo_002_.png,집,0,0,0
내려주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/nae_ryeo_ju_se_yo_.png,집,0,0,0
