text,image,카테고리_주제,카테고리_품사
책,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/caeg_003_.png,집,명사
책장,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/caeg_jang_.png,집,명사
책장,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/caeg_jang_201_.png,집,명사
침대,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/cim_dae_1.png,집,명사
침대커버,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/cim_dae_bo_001_.png,집,명사
침대커버,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/cim_dae_bo_002_.png,집,명사
컴퓨터,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/keom_pyu_teo_1.png,집,명사
키보드,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/ki_bo_deu_1.png,집,명사
도어락,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/do_eo_rag_201_.png,집,명사
도어락비밀번호,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/do_eo_rag_bi_mil_beon_ho_201_.png,집,명사
신문,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/sin_mun_.png,집,명사
신발장,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/sin_bal_jang_.png,집,명사
열쇠,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/yeol_soe_2.png,집,명사
우산,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/u_san_.png,집,명사
우산,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/u_san_202_.png,집,명사
초인종,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n8_hyeon_gwan_/co_in_jong_.png,집,명사
가방,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/ga_bang_002_.png,집,명사
가방,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/ga_bang_201_.png,집,명사
거울,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/geo_ul_001_.png,집,명사
거울,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/geo_ul_002_.png,집,명사
귀걸이,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/gwi_geol_i_001_.png,집,명사
귀걸이,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/gwi_geol_i_002_.png,집,명사
금,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/geum_.png,집,명사
드라이기,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/deu_ra_i_gi_.png,집,명사
로션,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/ro_syeon_001_.png,집,명사
로션,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/ro_syeon_002_.png,집,명사
